T,M,M_err,E,E_err,C,C_err,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29
1.5,0.9868673780487804,0.00013556254208463804,-0.9761880716463415,0.00022425771048884704,0.18768348494611725,0.003500890358641358,1.0,0.9761794969512195,0.974140625,0.9739233993902439,0.9738814786585366,0.9738738567073171,0.9738833841463415,0.9739005335365853,0.973936737804878,0.9739005335365853,0.9738833841463415,0.9738738567073171,0.9738814786585366,0.9739233993902439,0.974140625,0.9761794969512195,1.0,0.9761794969512195,0.974140625,0.9739233993902439,0.9738814786585366,0.9738738567073171,0.9738833841463415,0.9739005335365853,0.973936737804878,0.9739005335365853,0.9738833841463415,0.9738738567073171,0.9738814786585366,0.9739233993902439
1.7222222222222223,0.9673447027439024,0.00025315335960855896,-0.9448904344512196,0.0003561899908269513,0.35916900722075074,0.005964500257294267,1.0,0.9449333079268293,0.9373208841463415,0.9361432926829268,0.9358098323170732,0.9358022103658536,0.9357983993902439,0.9356669207317073,0.9356612042682927,0.9356669207317073,0.9357983993902439,0.9358022103658536,0.9358098323170732,0.9361432926829268,0.9373208841463415,0.9449333079268293,1.0,0.9449333079268293,0.9373208841463415,0.9361432926829268,0.9358098323170732,0.9358022103658536,0.9357983993902439,0.9356669207317073,0.9356612042682927,0.9356669207317073,0.9357983993902439,0.9358022103658536,0.9358098323170732,0.9361432926829268
1.9444444444444444,0.928248856707317,0.0004904104649261411,-0.8923056402439025,0.0005273801327849362,0.6176895598586795,0.0109208059173573,1.0,0.8923494664634146,0.8702572408536585,0.864624618902439,0.862875381097561,0.8623990091463415,0.8620179115853659,0.8619092987804878,0.8618635670731707,0.8619092987804878,0.8620179115853659,0.8623990091463415,0.862875381097561,0.864624618902439,0.8702572408536585,0.8923494664634146,1.0,0.8923494664634146,0.8702572408536585,0.864624618902439,0.862875381097561,0.8623990091463415,0.8620179115853659,0.8619092987804878,0.8618635670731707,0.8619092987804878,0.8620179115853659,0.8623990091463415,0.862875381097561,0.864624618902439
2.1666666666666665,0.8253972942073171,0.00136047205380261,-0.7966234756097561,0.0008081950251300072,1.1683203753049192,0.019049195670729845,1.0,0.7966996951219513,0.7360975609756097,0.7121150914634147,0.700062881097561,0.693266006097561,0.6899942835365853,0.6880087652439024,0.6875285823170731,0.6880087652439024,0.6899942835365853,0.693266006097561,0.700062881097561,0.7121150914634147,0.7360975609756097,0.7966996951219513,1.0,0.7966996951219513,0.7360975609756097,0.7121150914634147,0.700062881097561,0.693266006097561,0.6899942835365853,0.6880087652439024,0.6875285823170731,0.6880087652439024,0.6899942835365853,0.693266006097561,0.700062881097561,0.7121150914634147
2.388888888888889,0.5341901676829268,0.0026324440936337365,-0.6359927591463415,0.0009854049174459103,1.4287339295176662,0.020022651141625672,1.0,0.636280487804878,0.49084603658536585,0.41639100609756097,0.37015625,0.3411108993902439,0.32277248475609754,0.3134660823170732,0.3106440548780488,0.3134660823170732,0.32277248475609754,0.3411108993902439,0.37015625,0.41639100609756097,0.49084603658536585,0.636280487804878,1.0,0.636280487804878,0.49084603658536585,0.41639100609756097,0.37015625,0.3411108993902439,0.32277248475609754,0.3134660823170732,0.3106440548780488,0.3134660823170732,0.32277248475609754,0.3411108993902439,0.37015625,0.41639100609756097
2.611111111111111,0.29867759146341466,0.0021615060003445058,-0.5155135289634146,0.000794024639542652,0.77648140891738,0.013171394820617756,1.0,0.5155887957317074,0.31697408536585364,0.21682926829268293,0.15811356707317073,0.12180259146341463,0.09903391768292683,0.08586128048780488,0.08198932926829268,0.08586128048780488,0.09903391768292683,0.12180259146341463,0.15811356707317073,0.21682926829268293,0.31697408536585364,0.5155887957317074,1.0,0.5155887957317074,0.31697408536585364,0.21682926829268293,0.15811356707317073,0.12180259146341463,0.09903391768292683,0.08586128048780488,0.08198932926829268,0.08586128048780488,0.09903391768292683,0.12180259146341463,0.15811356707317073,0.21682926829268293
2.833333333333333,0.20333174542682927,0.0016283665029130114,-0.4457755335365854,0.000686802936539885,0.4933813782268299,0.007971163987535694,1.0,0.446469131097561,0.23388528963414634,0.1344016768292683,0.08232660060975609,0.05306783536585366,0.03785442073170732,0.030447789634146342,0.027871570121951218,0.030447789634146342,0.03785442073170732,0.05306783536585366,0.08232660060975609,0.1344016768292683,0.23388528963414634,0.446469131097561,1.0,0.446469131097561,0.23388528963414634,0.1344016768292683,0.08232660060975609,0.05306783536585366,0.03785442073170732,0.030447789634146342,0.027871570121951218,0.030447789634146342,0.03785442073170732,0.05306783536585366,0.08232660060975609,0.1344016768292683
3.0555555555555554,0.16365853658536586,0.0013355023128726337,-0.39791158536585364,0.0006571894850317969,0.3884316883594485,0.006203311083414778,1.0,0.3977667682926829,0.1841577743902439,0.09333460365853659,0.049382621951219514,0.02713795731707317,0.016530106707317072,0.010705030487804879,0.00934451219512195,0.010705030487804879,0.016530106707317072,0.02713795731707317,0.049382621951219514,0.09333460365853659,0.1841577743902439,0.3977667682926829,1.0,0.3977667682926829,0.1841577743902439,0.09333460365853659,0.049382621951219514,0.02713795731707317,0.016530106707317072,0.010705030487804879,0.00934451219512195,0.010705030487804879,0.016530106707317072,0.02713795731707317,0.049382621951219514,0.09333460365853659
3.2777777777777777,0.1402076981707317,0.0011452871816083098,-0.3611937881097561,0.0006138189478848523,0.2944661491170901,0.004583518632343227,1.0,0.36185594512195124,0.14848894817073172,0.0671703506097561,0.030847942073170733,0.014897103658536585,0.008012576219512195,0.0056154725609756095,0.0059375,0.0056154725609756095,0.008012576219512195,0.014897103658536585,0.030847942073170733,0.0671703506097561,0.14848894817073172,0.36185594512195124,1.0,0.36185594512195124,0.14848894817073172,0.0671703506097561,0.030847942073170733,0.014897103658536585,0.008012576219512195,0.0056154725609756095,0.0059375,0.0056154725609756095,0.008012576219512195,0.014897103658536585,0.030847942073170733,0.0671703506097561
3.5,0.12395674542682927,0.00102678336972001,-0.33036680640243904,0.0005987143079372653,0.24570669722529068,0.003738003646493257,1.0,0.33080983231707317,0.12214176829268293,0.050013338414634144,0.021598704268292683,0.009742759146341463,0.005331554878048781,0.0029839939024390244,0.001411966463414634,0.0029839939024390244,0.005331554878048781,0.009742759146341463,0.021598704268292683,0.050013338414634144,0.12214176829268293,0.33080983231707317,1.0,0.33080983231707317,0.12214176829268293,0.050013338414634144,0.021598704268292683,0.009742759146341463,0.005331554878048781,0.0029839939024390244,0.001411966463414634,0.0029839939024390244,0.005331554878048781,0.009742759146341463,0.021598704268292683,0.050013338414634144
