T,M,M_err,E,E_err,C,f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29
1.5,0.9864891479492187,1.5624469518716273e-05,-0.9755443359375,2.5744274539887178e-05,0.2895676141633885,1.0,0.9755427978515625,0.9734020263671875,0.973185595703125,0.9731642822265625,0.9731607421875,0.9731585205078125,0.973159716796875,0.973159326171875,0.973163134765625,0.97316162109375,0.9731608154296875,0.973157373046875,0.973157958984375,0.973158642578125,0.97316357421875,0.9731594482421875,0.973161328125,0.9731582275390624,0.9731603271484375,0.97316240234375,0.9731626953125,0.9731628662109375,0.9731619140625,0.97316240234375,0.9731620361328125,0.9731631591796875,0.973162451171875,0.9731606689453125,0.9731599609375
1.7222222222222223,0.9674961059570313,2.8498165334816513e-05,-0.9451958129882813,4.0536478786025495e-05,0.6252918722715431,1.0,0.94519365234375,0.9376475341796875,0.9363763427734375,0.9361210693359375,0.936063037109375,0.9360532470703125,0.936058642578125,0.93605439453125,0.93605751953125,0.936048193359375,0.9360474853515625,0.9360428466796875,0.93603994140625,0.9360483642578125,0.9360475830078125,0.9360468505859375,0.9360504638671875,0.9360489990234375,0.9360550537109374,0.93605048828125,0.9360499267578125,0.9360514892578125,0.9360531494140625,0.93605478515625,0.9360496337890625,0.9360442138671875,0.9360449951171875,0.9360516357421875,0.9360495849609375
1.9444444444444444,0.9276477172851563,5.6002764189647546e-05,-0.8915411254882812,6.039403977294979e-05,1.2293415281173241,1.0,0.891541552734375,0.8693609619140625,0.863530615234375,0.8616888916015625,0.8610189208984375,0.8607357177734375,0.8606306396484374,0.8605884521484375,0.8605751953125,0.8605474365234375,0.8605390380859375,0.8605270751953125,0.86051396484375,0.860520263671875,0.8605263916015625,0.8605385498046875,0.8605323974609375,0.8605360595703125,0.86053857421875,0.860524365234375,0.8605167236328125,0.8605376708984375,0.8605168212890625,0.8605411865234375,0.86051240234375,0.8605015869140625,0.8605146484375,0.860501806640625,0.86051162109375
2.1666666666666665,0.8216671264648437,0.00017904950562269942,-0.7951179321289062,9.362108858853157e-05,2.6511555030592717,1.0,0.7951050537109375,0.733275341796875,0.7082868896484374,0.695909619140625,0.68888837890625,0.6845767333984375,0.6817902099609375,0.6799307861328125,0.678599267578125,0.67767431640625,0.677070068359375,0.6766140625,0.676262646484375,0.67595732421875,0.675762158203125,0.67563798828125,0.6754990966796875,0.675436083984375,0.67536298828125,0.6753328125,0.6753054931640625,0.6752485107421875,0.6752075927734374,0.67518876953125,0.6751705810546875,0.675143701171875,0.6751155517578125,0.6751060302734375,0.675124169921875
2.388888888888889,0.08448277587890625,0.0006261260246433803,-0.6082849609375,0.00010018721611996492,2.75364910949226,1.0,0.6082435546875,0.4407345947265625,0.346466748046875,0.2835682373046875,0.2374672119140625,0.201736865234375,0.173061767578125,0.1496365478515625,0.1301470947265625,0.1137876708984375,0.0998720947265625,0.0879345947265625,0.07763544921875,0.068706005859375,0.0609401611328125,0.05415966796875,0.04828544921875,0.0430406982421875,0.0383051513671875,0.0342229248046875,0.0305091064453125,0.0272734619140625,0.0244776123046875,0.021901220703125,0.019637939453125,0.0176818603515625,0.0158774169921875,0.0143560302734375,0.0130588623046875
2.611111111111111,0.03653150634765625,0.0002762936462330343,-0.5101774291992187,8.465697183218539e-05,1.7987882305423362,1.0,0.5101951904296875,0.3080666015625,0.203315283203125,0.1405723388671875,0.0998529296875,0.0721876220703125,0.0528208251953125,0.038965771484375,0.0289757080078125,0.021728125,0.0164712646484375,0.0123613525390625,0.0093615234375,0.0070809326171875,0.0053680908203125,0.004078955078125,0.0032548583984375,0.002607275390625,0.002020166015625,0.0016849365234375,0.001353173828125,0.0010490966796875,0.0007990234375,0.00058427734375,0.00036337890625,0.00034931640625,0.00020078125,0.0002926513671875,0.00020947265625
2.833333333333333,0.02536910400390625,0.0001916646000868149,-0.44575322265625,7.689976281587113e-05,1.3678304268745278,1.0,0.44568662109375,0.2325151611328125,0.13267255859375,0.0795731201171875,0.0492982421875,0.03098349609375,0.019800048828125,0.0128723388671875,0.00834638671875,0.0054185302734375,0.0035072021484375,0.0024383544921875,0.00175869140625,0.00125498046875,0.00083271484375,0.000601806640625,0.0005241455078125,0.0003655517578125,0.000320263671875,0.000300537109375,0.00024453125,0.000232177734375,0.0003010009765625,0.00018505859375,0.0001470703125,-1.37939453125e-05,-0.0001111328125,-5.04150390625e-05,-1.48681640625e-05
3.0555555555555554,0.02013404541015625,0.00015264923507318656,-0.397892578125,7.320054260388931e-05,1.1492601468744397,1.0,0.39797841796875,0.1830822998046875,0.092177783203125,0.048803564453125,0.0265204345703125,0.0146252197265625,0.0081964599609375,0.0045923583984375,0.002717041015625,0.0016077392578125,0.0009056884765625,0.0005297607421875,0.000285546875,0.00024521484375,0.000120751953125,0.0001275390625,1.533203125e-05,-0.00011240234375,-0.0001178955078125,-7.783203125e-05,-0.0001109375,-0.0001693603515625,-6.09130859375e-05,-0.0001516845703125,-0.0001173828125,-0.0001159423828125,-8.45703125e-05,-6.552734375e-05,1.806640625e-05
3.2777777777777777,0.01749019775390625,0.0001329420292153481,-0.360373876953125,7.046048151975376e-05,0.9926396933734719,1.0,0.3603443603515625,0.1484009521484375,0.0666302734375,0.031535302734375,0.01542001953125,0.0076427734375,0.0038515625,0.0019076904296875,0.000978076171875,0.000459375,0.000227490234375,0.000248046875,0.0001051025390625,2.9052734375e-05,-5.96435546875e-05,-7.705078125e-05,-3.54736328125e-05,-1.57958984375e-05,6.1767578125e-06,-8.0712890625e-05,-6.103515625e-06,5.166015625e-05,-7.2265625e-06,-4.15283203125e-05,6.11572265625e-05,0.0001009033203125,4.96337890625e-05,4.189453125e-05,5.15869140625e-05
3.5,0.01543466796875,0.00011579039764921446,-0.3300049560546875,6.795304127440444e-05,0.8646287722211647,1.0,0.3300808837890625,0.122967529296875,0.0498417236328125,0.021223193359375,0.0093662841796875,0.0040545654296875,0.001743115234375,0.0008255859375,0.0003483154296875,0.000269775390625,0.0002070068359375,0.0001169189453125,0.0001580078125,-3.7744140625e-05,7.8466796875e-05,-2.28759765625e-05,-1.28662109375e-05,3.9599609375e-05,-0.00011103515625,-1.03271484375e-05,4.73876953125e-05,2.958984375e-05,7.61962890625e-05,8.10791015625e-05,0.0001071533203125,-4.970703125e-05,4.10888671875e-05,-1.4111328125e-05,5.68359375e-05
